,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
7807,252.12,1231.22,13108.49,110.13,6043.51,277.04,625.88,23182.6531,1008.3430999999961,0.0
7808,255.02,1235.84,13158.88,127.46,6269.62,272.71,545.68,23531.6327,1000.7526999999994,0.0
7809,258.18,1232.52,13150.27,113.44,6297.7,268.88,456.98,23533.6735,1010.0735000000008,0.0
7810,257.3,1232.05,13515.89,145.69,6308.66,268.58,332.26,23874.4898,1089.7198000000003,0.0
7811,257.69,1232.66,13436.07,109.93,6285.53,268.47,262.76,23948.9796,1065.8495999999977,0.0
7812,255.37,1227.78,13680.17,124.58,6319.18,276.99,242.62,24093.8776,1033.6875999999975,0.0
7813,260.84,1231.23,13527.4,343.63,6331.19,277.11,237.75,23963.2653,1145.325300000001,0.0
7814,261.12,1230.64,13471.21,348.83,6374.55,277.31,208.51,23969.3878,1092.8078000000037,0.0
7815,259.57,1231.23,13630.99,231.61,6416.18,278.89,218.28,24574.4898,1061.6397999999979,0.0
7816,259.9,1235.16,13662.39,450.56,6359.97,278.76,226.29,24583.6735,1161.9835000000028,0.0
7817,258.79,1235.13,13678.84,238.16,6322.1,280.4,211.85,24120.4082,1106.1482000000003,0.0
7818,257.96,1234.72,13499.75,160.94,6333.21,281.0,204.22,23852.0408,1064.7707999999955,0.0
7819,257.38,1233.88,13244.58,133.4,6177.58,281.28,215.86,23237.7551,1112.8650999999977,0.0
7820,256.9,1221.6,12286.99,130.6,5891.8,280.21,241.79,21694.898,1063.9380000000006,0.0
7821,247.54,1198.81,11254.66,114.88,5740.48,279.86,254.44,20010.2041,952.7141000000001,0.0
7822,249.6,1158.98,10781.39,112.61,5104.72,278.75,257.75,18709.1837,833.4137000000037,0.0
7823,249.94,1161.03,10559.25,105.81,4870.06,278.33,224.34,17640.8163,804.4762999999953,0.0
7824,250.05,1158.7,10491.09,104.2,4815.38,278.29,185.5,17142.8571,830.917099999999,0.0
7825,248.78,1158.7,10509.99,104.25,4732.43,278.16,153.67,16774.4898,788.1897999999997,0.0
7826,249.95,1157.44,10537.08,104.2,4924.42,277.61,162.27,16852.0408,700.1307999999985,0.0
7827,250.87,1157.87,10536.56,104.2,4899.0,277.9,202.27,17164.2857,659.9256999999984,0.0
7828,248.37,1163.5,10508.61,103.85,5274.95,278.5,236.45,17987.7551,856.6850999999975,0.0
7829,248.78,1183.56,11609.0,102.65,6173.4,278.77,237.95,20662.2449,859.1949000000025,0.0
7830,257.54,1222.36,12857.15,164.3,6565.63,279.14,278.3,22469.3878,1036.8778000000007,0.0
7831,257.6,1226.72,13404.89,102.11,6553.61,279.14,300.84,23383.6735,1123.8235000000022,0.0
7832,257.13,1228.46,13426.76,109.72,6627.26,280.43,293.7,23760.2041,1084.7840999999971,0.0
7833,256.86,1223.09,13390.12,102.92,6616.17,280.46,275.52,23800.0,1179.3600000000015,0.0
