,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7942,88.0,658.0,0.0,88.0,2.0,755.0,401.5,0.0
7943,87.0,659.0,0.0,88.0,2.0,724.0,291.0,0.0
7944,87.0,658.0,0.0,88.0,3.0,702.0,255.5,0.0
7945,87.0,659.0,0.0,87.0,2.0,695.0,225.5,0.0
7946,87.0,658.0,0.0,87.0,2.0,704.0,339.0,0.0
7947,87.0,658.0,0.0,87.0,3.0,746.0,324.5,0.0
7948,88.0,661.0,0.0,87.0,1.0,877.0,321.5,0.0
7949,89.0,685.0,96.0,87.0,1.0,1038.0,678.0,0.0
7950,90.0,690.0,106.0,87.0,3.0,1121.0,638.0,0.0
7951,91.0,696.0,404.0,87.0,3.0,1168.0,597.0,0.0
7952,91.0,711.0,55.0,87.0,2.0,1172.0,893.0,0.0
7953,91.0,663.0,48.0,87.0,1.0,1155.0,888.0,0.0
7954,91.0,660.0,18.0,87.0,0.0,1111.0,912.0,0.0
7955,91.0,660.0,34.0,87.0,1.0,1128.0,865.0,0.0
7956,92.0,660.0,23.0,87.0,1.0,1119.0,750.5,0.0
7957,91.0,576.0,123.0,87.0,1.0,1132.0,754.5,0.0
7958,92.0,475.0,448.0,88.0,2.0,1192.0,718.0,0.0
7959,92.0,476.0,448.0,88.0,2.0,1187.0,725.0,0.0
7960,92.0,476.0,298.0,88.0,4.0,1164.0,742.5,0.0
7961,92.0,478.0,265.0,87.0,10.0,1122.0,724.5,0.0
7962,92.0,478.0,226.0,87.0,11.0,1088.0,742.0,0.0
7963,92.0,478.0,204.0,87.0,10.0,1023.0,546.5,0.0
7964,92.0,475.0,22.0,87.0,10.0,933.0,432.5,0.0
7965,92.0,378.0,99.0,87.0,10.0,838.0,344.0,0.0
7966,92.0,259.0,0.0,88.0,9.0,772.0,355.5,0.0
